PRODUCT(k/*),VKORG(k/*),VTWEG(k/*),VRKME,VAVME,DWERK,VMSTA,VMSTD,SKTOF,PBIND,LFMNG,LFMAX,AUMNG,SCMNG,SCHME,CTR_TERM_DEF,CTR_TERM_ALT1,CTR_TERM_ALT2,CTR_TERM_UNIT,EXT_PERIOD_DEF,EXT_PERIOD_ALT1,EXT_PERIOD_ALT2,EXT_PERIOD_UNIT,RDPRF,SSTUF,LSTFL,LDVFL,LDBFL,LSTVZ,LDVZL,LDBZL,VDVFL,VDBFL,VDVZL,VDBZL,KONDM,BONUS,MTPOS(*),KTGRM,PROVG,PMATN,MEGRU,PRODH,VERSG,MVGR1,MVGR2,MVGR3,MVGR4,MVGR5
10000001,BE01,10,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORM,,,,,,,,,,,
10000001,ZA01,10,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORM,,,,,,,,,,,
10000001,LS01,10,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORM,,,,,,,,,,,
10000002,BE01,10,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORM,,,,,,,,,,,
10000002,ZA01,10,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORM,,,,,,,,,,,
10000002,LS01,10,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORM,,,,,,,,,,,
10000003,BE01,10,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORM,,,,,,,,,,,
10000003,ZA01,10,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORM,,,,,,,,,,,
10000003,LS01,10,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORM,,,,,,,,,,,
10000004,BE01,10,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORM,,,,,,,,,,,
10000004,ZA01,10,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORM,,,,,,,,,,,
10000004,LS01,10,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORM,,,,,,,,,,,
10000005,BE01,10,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORM,,,,,,,,,,,
10000005,ZA01,10,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORM,,,,,,,,,,,
10000005,LS01,10,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORM,,,,,,,,,,,
