VARIANT;V_SITE;V_PROFILE;V_SITE_BP;V_BUKRS;V_EKORG;V_VKORG;V_VTWEG;V_SPART;V_MATLED;V_REFSITE
ECATTDEFAULT;GHDC;ZDC;GHDC;Z100;Z100;BE01;10;00;0001;
1;GHDC;ZDC;GHDC;Z100;Z100;BE01;10;00;0001;
2;GHST;ZSTO;GHST;Z100;Z100;BE01;10;00;0001;
3;ANDC;ZDC;ANDC;Z100;Z100;BE01;10;00;0001;
4;ANST;ZSTO;ANST;Z100;Z100;BE01;10;00;0001;
5;CTDC;ZDC;CTDC;Z200;Z100;ZA01;10;00;0001;
6;CTST;ZSTO;CTST;Z200;Z100;ZA01;10;00;0001;
7;JBDC;ZDC;JBDC;Z200;Z100;ZA01;10;00;0001;
8;JBST;ZSTO;JBST;Z200;Z100;ZA01;10;00;0001;
9;MSDC;ZDC;MSDC;Z300;Z100;LS01;10;00;0001;
10;MSST;ZSTO;MSST;Z300;Z100;LS01;10;00;0001;
11;TYDC;ZDC;TYDC;Z300;Z100;LS01;10;00;0001;
12;TYST;ZSTO;TYST;Z300;Z100;LS01;10;00;0001;
